> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|   19.03 |   19.03 |   19.03 |   19.03 |      0           |           0 |              0 |
|   18.99 |   18.99 |   18.99 |   18.99 |      0           |           0 |              0 |
|   19.03 |   19.03 |   19.03 |   19.03 |      0           |           0 |              0 |
|   19.12 |   19.12 |   19.12 |   19.12 |      0           |           0 |              0 |
|   19.09 |   19.09 |   19.09 |   19.09 |      0           |           0 |              0 |
|   19.2  |   19.2  |   19.2  |   19.2  |      0           |           0 |              0 |
|   19.24 |   19.24 |   19.24 |   19.24 |      0           |           0 |              0 |
|   19.42 |   19.42 |   19.42 |   19.42 |      0           |           0 |              0 |
|   19.47 |   19.47 |   19.47 |   19.47 |      0           |           0 |              0 |
|   19.43 |   19.43 |   19.43 |   19.43 |      0           |           0 |              0 |
|   19.42 |   19.42 |   19.42 |   19.42 |      0           |           0 |              0 |
|   19.33 |   19.33 |   19.33 |   19.33 |      0           |           0 |              0 |
|   19.36 |   19.36 |   19.36 |   19.36 |      0           |           0 |              0 |
|   19.58 |   19.58 |   19.58 |   19.58 |      0           |           0 |              0 |
|   19.49 |   19.49 |   19.49 |   19.49 |      0           |           0 |              0 |
|   19.25 |   19.25 |   19.25 |   19.25 |      0           |           0 |              0 |
|   19.3  |   19.3  |   19.3  |   19.3  |      0           |           0 |              0 |
|   19.25 |   19.25 |   19.25 |   19.25 |      0           |           0 |              0 |
|   19.29 |   19.29 |   19.29 |   19.29 |      0           |           0 |              0 |
|   19.13 |   19.13 |   19.13 |   19.13 |      0           |           0 |              0 |
|   19.47 |   19.47 |   19.47 |   19.47 |      0           |           0 |              0 |
|   19.61 |   19.61 |   19.61 |   19.61 |      0           |           0 |              0 |
|   19.64 |   19.64 |   19.64 |   19.64 |      0           |           0 |              0 |
|   19.77 |   19.77 |   19.77 |   19.77 |      0           |           0 |              0 |
|   20.02 |   20.02 |   20.02 |   20.02 |      0           |           0 |              0 |
|   20    |   20    |   20    |   20    |      0           |           0 |              0 |
|   20.02 |   20.02 |   20.02 |   20.02 |      0           |           0 |              0 |
|   20.34 |   20.34 |   20.34 |   20.34 |      0           |           0 |              0 |
|   20.38 |   20.38 |   20.38 |   20.38 |      0           |           0 |              0 |
|   20.54 |   20.54 |   20.54 |   20.54 |      0           |           0 |              0 |
|   20.58 |   20.58 |   20.58 |   20.58 |      0           |           0 |              0 |
|   20.61 |   20.61 |   20.61 |   20.61 |      0           |           0 |              0 |
|   20.87 |   20.87 |   20.87 |   20.87 |      0           |           0 |              0 |
|   20.97 |   20.97 |   20.97 |   20.97 |      0           |           0 |              0 |
|   21.07 |   21.07 |   21.07 |   21.07 |      0           |           0 |              0 |
|   20.94 |   20.94 |   20.94 |   20.94 |      0           |           0 |              0 |
|   21.09 |   21.09 |   21.09 |   21.09 |      0           |           0 |              0 |
|   20.92 |   20.92 |   20.92 |   20.92 |      0           |           0 |              0 |
|   21.08 |   21.08 |   21.08 |   21.08 |      0           |           0 |              0 |
