+---------------------+---------+---------+---------+---------+----------------+----------+---------------+
|                     |    Open |    High |     Low |   Close |   Daily_Change |   Target |   Predictions |
| 2016-05-05 00:00:00 | 2052.95 | 2060.23 | 2045.77 | 2050.63 |   -0.00113011  |        1 |             0 |
| 2016-05-04 00:00:00 | 2060.3  | 2060.3  | 2045.55 | 2051.12 |   -0.00445563  |        0 |             1 |
| 2016-05-03 00:00:00 | 2077.18 | 2077.18 | 2054.89 | 2063.37 |   -0.00664835  |        0 |             0 |
| 2016-05-02 00:00:00 | 2067.17 | 2083.42 | 2066.11 | 2081.43 |    0.00689832  |        0 |             0 |
| 2016-04-29 00:00:00 | 2071.82 | 2073.85 | 2052.28 | 2065.3  |   -0.003147    |        1 |             1 |
| 2016-04-28 00:00:00 | 2090.93 | 2099.3  | 2071.62 | 2075.81 |   -0.00723117  |        0 |             1 |
| 2016-04-27 00:00:00 | 2092.33 | 2099.89 | 2082.31 | 2095.15 |    0.0013477   |        0 |             0 |
| 2016-04-26 00:00:00 | 2089.84 | 2096.87 | 2085.8  | 2091.7  |    0.000889955 |        1 |             0 |
| 2016-04-25 00:00:00 | 2089.37 | 2089.37 | 2077.52 | 2087.79 |   -0.000756246 |        1 |             0 |
| 2016-04-22 00:00:00 | 2091.49 | 2094.32 | 2081.2  | 2091.58 |    4.30735e-05 |        0 |             0 |
| 2016-04-21 00:00:00 | 2102.09 | 2103.78 | 2088.52 | 2091.48 |   -0.00504741  |        1 |             0 |
| 2016-04-20 00:00:00 | 2101.52 | 2111.05 | 2096.32 | 2102.4  |    0.000418689 |        0 |             0 |
| 2016-04-19 00:00:00 | 2096.05 | 2104.05 | 2091.68 | 2100.8  |    0.00226617  |        1 |             0 |
| 2016-04-18 00:00:00 | 2078.83 | 2094.66 | 2073.65 | 2094.34 |    0.00746093  |        1 |             0 |
| 2016-04-15 00:00:00 | 2083.1  | 2083.22 | 2076.31 | 2080.73 |   -0.00113778  |        1 |             0 |
| 2016-04-14 00:00:00 | 2082.89 | 2087.84 | 2078.13 | 2082.78 |   -5.27456e-05 |        0 |             0 |
| 2016-04-13 00:00:00 | 2065.92 | 2083.18 | 2065.92 | 2082.42 |    0.00798676  |        1 |             0 |
| 2016-04-12 00:00:00 | 2043.72 | 2065.05 | 2039.74 | 2061.72 |    0.00880747  |        1 |             0 |
| 2016-04-11 00:00:00 | 2050.23 | 2062.93 | 2041.88 | 2041.99 |   -0.00401906  |        1 |             1 |
| 2016-04-08 00:00:00 | 2045.54 | 2060.63 | 2041.69 | 2047.6  |    0.00100704  |        0 |             0 |
| 2016-04-07 00:00:00 | 2063.01 | 2063.01 | 2033.8  | 2041.91 |   -0.0102278   |        1 |             1 |
| 2016-04-06 00:00:00 | 2045.56 | 2067.33 | 2043.09 | 2066.66 |    0.010315    |        0 |             0 |
| 2016-04-05 00:00:00 | 2062.5  | 2062.5  | 2042.56 | 2045.17 |   -0.0084024   |        1 |             1 |
| 2016-04-04 00:00:00 | 2073.19 | 2074.02 | 2062.57 | 2066.13 |   -0.00340541  |        0 |             0 |
| 2016-04-01 00:00:00 | 2056.62 | 2075.07 | 2043.98 | 2072.78 |    0.00785751  |        0 |             0 |
| 2016-03-31 00:00:00 | 2063.77 | 2067.92 | 2057.46 | 2059.74 |   -0.00195275  |        1 |             0 |
| 2016-03-30 00:00:00 | 2058.27 | 2072.21 | 2058.27 | 2063.95 |    0.00275957  |        0 |             0 |
| 2016-03-29 00:00:00 | 2035.75 | 2055.91 | 2028.31 | 2055.01 |    0.00946089  |        1 |             0 |
| 2016-03-28 00:00:00 | 2037.89 | 2042.67 | 2031.96 | 2037.05 |   -0.000412174 |        1 |             0 |
| 2016-03-24 00:00:00 | 2032.48 | 2036.04 | 2022.49 | 2035.94 |    0.00170233  |        1 |             0 |
| 2016-03-23 00:00:00 | 2048.55 | 2048.55 | 2034.86 | 2036.71 |   -0.00577974  |        0 |             0 |
| 2016-03-22 00:00:00 | 2048.64 | 2056.6  | 2040.57 | 2049.8  |    0.000566306 |        0 |             0 |
| 2016-03-21 00:00:00 | 2047.88 | 2053.91 | 2043.14 | 2051.6  |    0.00181656  |        0 |             0 |
| 2016-03-18 00:00:00 | 2041.16 | 2052.36 | 2041.16 | 2049.58 |    0.00412513  |        1 |             0 |
| 2016-03-17 00:00:00 | 2026.9  | 2046.24 | 2022.16 | 2040.59 |    0.00675413  |        1 |             0 |
| 2016-03-16 00:00:00 | 2014.24 | 2032.02 | 2010.04 | 2027.22 |    0.00644411  |        1 |             0 |
| 2016-03-15 00:00:00 | 2015.27 | 2015.94 | 2005.23 | 2015.93 |    0.000327516 |        1 |             1 |
| 2016-03-14 00:00:00 | 2019.27 | 2024.57 | 2012.05 | 2019.64 |    0.000183232 |        0 |             1 |
| 2016-03-11 00:00:00 | 1994.71 | 2022.37 | 1994.71 | 2022.19 |    0.0137764   |        0 |             1 |
