> from tabulate import tabulate
> print tabulate(sp500.tail(100), headers='keys', tablefmt='psql', showindex=True)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)

+---------------------------+---------+---------+---------+---------+-------------+-------------+----------------+
| Date                      |    Open |    High |     Low |   Close |      Volume |   Dividends |   Stock Splits |
| 2025-02-03 00:00:00-05:00 | 5969.65 | 6022.13 | 5923.93 | 5994.57 | 4.79721e+09 |           0 |              0 |
| 2025-02-04 00:00:00-05:00 | 5998.14 | 6042.48 | 5990.87 | 6037.88 | 4.41016e+09 |           0 |              0 |
| 2025-02-05 00:00:00-05:00 | 6020.45 | 6062.86 | 6007.06 | 6061.48 | 4.75625e+09 |           0 |              0 |
| 2025-02-06 00:00:00-05:00 | 6072.22 | 6084.03 | 6046.83 | 6083.57 | 4.84712e+09 |           0 |              0 |
| 2025-02-07 00:00:00-05:00 | 6083.13 | 6101.28 | 6019.96 | 6025.99 | 4.7669e+09  |           0 |              0 |
| 2025-02-10 00:00:00-05:00 | 6046.4  | 6073.38 | 6044.84 | 6066.44 | 4.45876e+09 |           0 |              0 |
| 2025-02-11 00:00:00-05:00 | 6049.32 | 6076.28 | 6042.34 | 6068.5  | 4.32488e+09 |           0 |              0 |
| 2025-02-12 00:00:00-05:00 | 6025.08 | 6063    | 6003    | 6051.97 | 4.62796e+09 |           0 |              0 |
| 2025-02-13 00:00:00-05:00 | 6060.59 | 6116.91 | 6050.95 | 6115.07 | 4.7638e+09  |           0 |              0 |
| 2025-02-14 00:00:00-05:00 | 6115.52 | 6127.47 | 6107.62 | 6114.63 | 4.33519e+09 |           0 |              0 |
| 2025-02-18 00:00:00-05:00 | 6121.6  | 6129.63 | 6099.51 | 6129.58 | 4.68498e+09 |           0 |              0 |
| 2025-02-19 00:00:00-05:00 | 6117.76 | 6147.43 | 6111.15 | 6144.15 | 4.56233e+09 |           0 |              0 |
| 2025-02-20 00:00:00-05:00 | 6134.5  | 6134.5  | 6084.59 | 6117.52 | 4.81369e+09 |           0 |              0 |
| 2025-02-21 00:00:00-05:00 | 6114.1  | 6114.82 | 6008.56 | 6013.13 | 5.43456e+09 |           0 |              0 |
| 2025-02-24 00:00:00-05:00 | 6026.69 | 6043.65 | 5977.83 | 5983.25 | 4.99012e+09 |           0 |              0 |
| 2025-02-25 00:00:00-05:00 | 5982.73 | 5992.65 | 5908.49 | 5955.25 | 5.37469e+09 |           0 |              0 |
| 2025-02-26 00:00:00-05:00 | 5970.87 | 6009.82 | 5932.69 | 5956.06 | 4.86958e+09 |           0 |              0 |
| 2025-02-27 00:00:00-05:00 | 5981.88 | 5993.69 | 5858.78 | 5861.57 | 5.05768e+09 |           0 |              0 |
